DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Niederösterreich,2017,0.9,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Niederösterreich,2018,0.68,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Niederösterreich,2019,0.95,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Niederösterreich,2020,0.78,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Niederösterreich,2021,0.92,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Niederösterreich,2022,1.13,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Wien,2013,0.93,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Wien,2014,0.64,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Wien,2015,0.77,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Wien,2016,0.69,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Wien,2017,1.21,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Wien,2018,0.64,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Wien,2019,1.24,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Wien,2020,0.65,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Wien,2021,0.75,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Wien,2022,1.08,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Kärnten,2013,0.45,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Kärnten,2014,0.45,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Kärnten,2015,0.68,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Kärnten,2016,0.93,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Kärnten,2017,0.8,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Kärnten,2018,0.5,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Kärnten,2019,0.18,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Kärnten,2020,0.88,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Kärnten,2021,0.47,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Kärnten,2022,1.18,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Steiermark,2013,0.63,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Steiermark,2014,0.82,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Steiermark,2015,0.7,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Steiermark,2016,1.09,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Steiermark,2017,0.72,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Steiermark,2018,0.84,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Steiermark,2019,0.7,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Steiermark,2020,0.36,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Steiermark,2021,1.04,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Steiermark,2022,0.87,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Oberösterreich,2013,1.88,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Oberösterreich,2014,0.77,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Oberösterreich,2015,1.33,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Oberösterreich,2016,0.64,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Oberösterreich,2017,0.94,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Oberösterreich,2018,0.83,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Oberösterreich,2019,0.92,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Oberösterreich,2020,1.83,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Oberösterreich,2021,1.15,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Oberösterreich,2022,1.14,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Salzburg,2013,0.57,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Salzburg,2014,1.21,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Salzburg,2015,0.59,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Salzburg,2016,0.64,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Salzburg,2017,0.6,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Salzburg,2018,0.55,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Salzburg,2019,0.56,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Salzburg,2020,0.52,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Salzburg,2021,0.47,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Salzburg,2022,1.21,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Tirol,2013,0.92,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Tirol,2014,0.88,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Tirol,2015,0.44,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Tirol,2016,1.44,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Tirol,2017,0.39,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Tirol,2018,1,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Tirol,2019,0.65,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Tirol,2020,0.54,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Tirol,2021,0.4,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Tirol,2022,0.52,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Vorarlberg,2014,1.08,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Vorarlberg,2015,0.6,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Vorarlberg,2016,0.29,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Vorarlberg,2017,0.55,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Vorarlberg,2018,0.54,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Vorarlberg,2019,0.77,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Vorarlberg,2020,0.61,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Vorarlberg,2021,0.51,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Vorarlberg,2022,0.41,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2013,2.37,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2014,2.28,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2015,2.26,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2016,2.05,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2017,1.52,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,2.04,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2019,1.53,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020,0.84,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021,1.22,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022,1.92,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Antwerpen,2013,0.71,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Antwerpen,2014,0.75,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Antwerpen,2015,0.72,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Antwerpen,2016,0.8,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Antwerpen,2017,0.63,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Antwerpen,2018,0.68,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Antwerpen,2019,0.79,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Antwerpen,2020,0.59,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Antwerpen,2021,0.47,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Antwerpen,2022,0.45,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Limburg (BE),2013,0.98,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Limburg (BE),2014,0.8,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Limburg (BE),2015,0.66,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Limburg (BE),2016,0.64,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Limburg (BE),2017,0.79,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Limburg (BE),2018,0.51,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Limburg (BE),2019,0.34,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Limburg (BE),2020,0.3,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Limburg (BE),2021,0.41,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Limburg (BE),2022,0.27,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Oost-Vlaanderen,2013,1.1,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Oost-Vlaanderen,2014,0.38,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Oost-Vlaanderen,2015,0.79,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Oost-Vlaanderen,2016,0.39,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Oost-Vlaanderen,2017,0.47,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Oost-Vlaanderen,2018,0.64,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Oost-Vlaanderen,2019,0.63,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Oost-Vlaanderen,2020,0.63,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Oost-Vlaanderen,2021,0.42,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Oost-Vlaanderen,2022,0.52,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Vlaams-Brabant,2013,0.87,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Vlaams-Brabant,2014,0.77,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Vlaams-Brabant,2015,1.04,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Vlaams-Brabant,2016,0.65,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Vlaams-Brabant,2017,0.76,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Vlaams-Brabant,2018,1.09,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Vlaams-Brabant,2019,0.59,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Vlaams-Brabant,2020,0.79,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Vlaams-Brabant,2021,0.46,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Vlaams-Brabant,2022,0.76,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. West-Vlaanderen,2013,0.78,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. West-Vlaanderen,2014,0.22,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. West-Vlaanderen,2015,0.99,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. West-Vlaanderen,2016,1.14,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. West-Vlaanderen,2017,0.62,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. West-Vlaanderen,2018,0.75,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. West-Vlaanderen,2019,0.76,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. West-Vlaanderen,2020,0.77,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. West-Vlaanderen,2021,0.46,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. West-Vlaanderen,2022,1.14,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Brabant wallon,2013,2.16,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Brabant wallon,2014,1.46,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Brabant wallon,2015,1.76,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Brabant wallon,2016,2.03,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Brabant wallon,2017,2,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Brabant wallon,2018,2.04,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Brabant wallon,2019,1.2,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Brabant wallon,2020,0.73,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Brabant wallon,2021,0.71,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Brabant wallon,2022,1.78,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Hainaut,2013,2.17,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Hainaut,2014,1.56,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Hainaut,2015,1.82,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Hainaut,2016,1.88,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Hainaut,2017,1.77,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Hainaut,2018,1.49,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Hainaut,2019,1.59,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Hainaut,2020,1.47,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Hainaut,2021,1.29,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Prov. Hainaut,2022,1.18,,
